,x,y1,y2,y1err,y2err,z
45,249399993171968.0,2338516347329.1226,2430897147163.9688,628140292462.3103,721105395613.0403,0.19424269585664297
46,376899989667840.0,2034136481801.1614,1806159340501.501,480342693394.1073,536657264383.0251,0.21273486116215753
47,298800002367488.0,1415706853451.1147,1921184460401.6924,494285328644.43726,618970241097.4114,0.2094073895624963
48,309799984037888.0,956199828812.1764,1554266748093.6724,337402915893.9009,422850132961.10583,0.20857512939641343
49,164799992299520.0,939625208059.2462,1113624087535.51,281840585149.6653,348322773822.42944,0.21946190183024447
50,132600001724416.0,1195124634435.8325,1076883485638.8347,298214742797.79736,297036357566.94385,0.2056363644175017
51,516399990571008.0,4400752649432.787,5676128541032.595,1088523705268.7955,1258663105094.585,0.22735289756658622
52,655399996882944.0,2583068180538.0674,3353955506547.9033,403853354600.60004,503834691713.129,0.22105487007846022
53,375300013686784.0,1141839036157.7292,1756295987352.466,317723764522.7819,385013367399.3431,0.21993003968972544
54,245200001695744.0,684789936939.2593,1086578222902.6417,194715467335.35092,274539704551.4955,0.21871348687128092
55,110400003637248.0,148051482823.892,360559330577.9916,52292302384.61711,154874525676.63574,0.2108940599942243
56,89950003396608.0,308923479627.9826,488379270483.662,131723010529.67647,231661460638.81766,0.21338640070745452
57,62590000562176.0,277284562505.15405,384826893776.4325,107356659001.47131,162436226852.41412,0.19759213051641467
58,640300032720896.0,2202027504085.2676,3497063031946.8755,362336605908.19305,570270796523.4048,0.2093973160994388
59,137799999160320.0,1734569220305.3928,1298860074265.6948,375366013633.7567,352804008424.4017,0.2372095298635746
60,52840001175552.0,432638242301.633,517974804147.892,110399585094.83675,140441820950.85907,0.20602686635162776
61,294599994114048.0,1575547716773.3325,2127922180612.1729,310535898638.6023,422415724950.6042,0.2402783470007976
62,86229999681536.0,920905665503.5221,1101570962206.3394,383329406204.5111,450464455698.06665,0.280668743880811
63,163499992940544.0,1123920092980.086,1063612252602.3398,316810573523.598,377555873391.2793,0.27897511832701033
64,232599993712640.0,2172956935398.2246,2680609595627.567,905271378928.0885,1069596643535.7217,0.2822692441854931
65,337500006514688.0,2206104049085.3506,2189711548304.0415,512168396365.87714,579918582311.9722,0.23277427384050672
66,190700004048896.0,783538848394.325,1168452433047.3586,195266769992.78506,262886448738.6679,0.25113403852295074
67,138799996731392.0,409871021570.9235,635809481709.8258,124222997837.00296,215287777034.66293,0.27520205571302747
68,70429997793280.0,256177162572.71637,454758736557.7448,109141687537.40585,177900328462.01224,0.24481542054449026
69,61720001249280.0,906047873125.4725,498813509803.5896,250341634033.13696,228230345641.0772,0.24146517595784342
70,557900011405312.0,4532646707894.483,3966705921897.919,747017464917.6135,807195858804.6305,0.2550076985529526
71,350500000104448.0,2816905323741.0264,2979460811019.6094,650716384106.9708,715067403946.9568,0.2628299447636938
72,93569998127104.0,731946629558.6886,806530688891.2721,216141384423.25977,289179202205.43207,0.2826703302123356
73,56429998243840.0,360047544768.07056,577288171141.729,88656360947.56464,155397662577.02298,0.2722167438231999
74,257599991709696.0,2285456031819.2153,2592479286219.3164,703987867568.7369,783222966116.681,0.28461750672678005
75,187599993962496.0,2603153668160.114,1663102253616.5835,457161439657.3746,480891744841.5852,0.3092673938742556
76,119399998554112.0,1196516358777.562,1256339010761.9224,330409330878.40924,414576377621.8472,0.31503431927899156
77,298700010160128.0,1544732535679.5488,2487640421921.963,380510570278.2073,508532913931.1351,0.290688191454931
78,298499992190976.0,1913244841900.1077,2160479684437.2695,357755906808.7873,452464738438.43286,0.31214674223882605
79,398700002148352.0,3058476793544.265,3457875110741.552,853053368086.6022,996503471705.4581,0.31111597057179524
80,318299992752128.0,1662130680347.4563,1837682551630.9902,395476016192.5861,479875734211.83044,0.2979361376856826
81,87769997115392.0,325900487835.7548,531323827340.8069,123719705134.12875,183656818571.0352,0.29301509211399185
82,273400001986560.0,1785591356835.168,2497434696226.2734,626298517392.0189,836944668112.4073,0.31885900683933166
83,221500003057664.0,2017172526651.7898,1714925038587.41,578022990757.6729,687113090649.3533,0.30888934490046044
84,134699997462528.0,1095415990455.6188,1402884184499.6726,462277260894.23804,578472165227.7417,0.31443238794505285
85,95040001015808.0,730315023505.945,662413269762.5869,264701758107.831,260132241773.58374,0.2801315227265895
86,173500002205696.0,1188216029762.2737,2497921128135.784,329235461486.37305,562261176083.8093,0.3339472929583579
87,56849999069184.0,315936228696.7177,417176810326.9363,142585984325.89017,220535639903.9998,0.3512324191923949
88,54570000580608.0,661053520502.1544,916176039566.5585,297596508818.253,392962562633.9699,0.3279760226105537
89,207700004700160.0,2183515827668.9531,2751268865943.1733,559596823150.5791,716836506136.5759,0.3353571534404165
90,677099983601664.0,3750190396401.8525,5617442799548.947,750322012704.3347,1012206608270.5636,0.46171983413534784
91,482899983859712.0,4079789987511.328,4776728755102.383,899863944582.7864,1169205315836.7766,0.4614517127050522
92,610400013910016.0,4670963071397.935,6085693821085.805,714143280416.8599,913588541846.5558,0.4962565952807865
93,681199999647744.0,7967915471661.077,5202964285795.189,1002211605607.5361,1011130545599.3701,0.4431191600695503
94,254499998400512.0,2571672458758.219,3180093916928.133,582654481637.002,819785413252.5195,0.45696630894012186
95,437700016472064.0,5496306834125.206,7126317774619.576,873097808813.9816,1087069951055.16,0.44261562689165607
